id	C1	C2
FAM176A	50.678682901	56.9685173482
AL139238.1	3.63947534561	0.0393903777003
OCIAD2	155.164130732	179.309495017
MAPK1IP1L	55.2904050872	56.3243625686
OR4K1	0.0393903777003	0.0393903777003
TOMM7	179.219541416	183.015172347
DST	394.594747044	482.1201488
FAM176B	32.9302899837	29.4400010109
AC217773.1	0.0	0.0
DSP	265.199601755	284.340038881
AC093726.6	55.5424047559	46.776500538
AC093726.4	0.0787807554007	0.0787807554007
C19orf47	36.971145466	37.5260584056
DCDC5	17.8590646535	5.06049843878
THBD	16.4887502715	11.1995389983
DSE	140.47572308	144.316162691
DCDC1	6.91698735207	7.94343078136
DCDC2	4.90200987458	8.24078135192
GSTO2	85.2131248489	89.1706156358
PDAP1	122.475473508	112.069882497
CENPBD1	15.3299503326	15.2725858688
GSTO1	121.971575893	124.477744021
CCNE1	95.2832470983	94.5911914483
UBE2D4	39.3836786821	40.6896835789
RING1	0.472684532404	0.472684532404
CTHRC1	26.9274114743	26.187178053
SCN5A	253.868421175	225.808113374
CNGB1	3.1572984308	1.37866321951
TTC31	145.770745717	124.091355339
TTC37	186.656523399	228.760716081
HS3ST3B1	42.9027690887	43.9005317688
TTC35	97.487029247	125.348365188
TTC34	5.76919978857	2.03786949813
TTC38	78.0853786916	69.4321105406
CNGB3	0.984759442508	2.58933478594
ARSH	0.354513399303	1.95908874273
SYN3	204.205455452	156.564244471
OR4K5	0.0393903777003	0.0393903777003
SLC9A1	183.435239337	180.403828166
